date,new_state,trigger,spy,vix,hy_oas
1998-01-02,ELEVATED,primary_to_ELEVATED,97.56,23.42,1.54
1998-01-07,STRESS,primary_to_STRESS,96.47,25.07,1.62
1998-01-14,ELEVATED,primary_to_ELEVATED,95.75,23.75,1.68
1998-02-19,NORMAL,primary_to_NORMAL,102.89,19.88,1.69
1998-03-05,ELEVATED,primary_to_ELEVATED,103.84,20.93,1.65
1998-04-02,STRESS,primary_to_STRESS,112.03,21.98,1.71
1998-04-13,ELEVATED,primary_to_ELEVATED,110.88,22.77,1.69
1998-04-21,NORMAL,primary_to_NORMAL,112.78,19.91,1.67
1998-04-24,ELEVATED,primary_to_ELEVATED,110.81,21.97,1.68
1998-05-20,NORMAL,primary_to_NORMAL,112.41,19.89,1.64
1998-05-26,ELEVATED,primary_to_ELEVATED,109.47,22.07,1.63
1998-06-05,NORMAL,primary_to_NORMAL,112.0,19.78,1.6
1998-06-10,ELEVATED,primary_to_ELEVATED,111.5,21.48,1.61
1998-08-21,STRESS,primary_to_STRESS,108.56,33.14,1.8
1998-11-17,ELEVATED,primary_to_ELEVATED,114.06,27.95,2.49
1998-12-02,STRESS,primary_to_STRESS,117.28,25.43,2.57
1998-12-21,ELEVATED,primary_to_ELEVATED,120.16,23.86,2.59
1999-01-04,STRESS,primary_to_STRESS,123.03,26.17,2.61
1999-01-08,ELEVATED,primary_to_ELEVATED,127.75,23.28,2.51
1999-01-15,STRESS,primary_to_STRESS,124.38,29.24,2.61
1999-03-05,ELEVATED,primary_to_ELEVATED,127.55,24.08,2.24
1999-05-24,STRESS,primary_to_STRESS,131.12,27.62,2.27
1999-06-04,ELEVATED,primary_to_ELEVATED,133.22,23.43,2.12
1999-09-24,STRESS,primary_to_STRESS,127.75,27.79,2.41
1999-10-01,ELEVATED,primary_to_ELEVATED,128.47,24.93,2.26
1999-11-18,NORMAL,primary_to_NORMAL,142.62,19.76,2.04
1999-11-26,ELEVATED,primary_to_ELEVATED,141.44,22.33,2.01
1999-12-03,NORMAL,primary_to_NORMAL,143.84,19.32,1.96
2000-01-04,ELEVATED,primary_to_ELEVATED,139.75,27.01,1.72
2000-02-09,STRESS,primary_to_STRESS,141.28,22.9,1.7
2000-03-01,ELEVATED,primary_to_ELEVATED,138.44,21.64,1.96
2000-03-14,STRESS,primary_to_STRESS,136.62,24.41,2.15
2000-04-07,ELEVATED,primary_to_ELEVATED,151.44,24.39,2.4
2000-04-14,STRESS,primary_to_STRESS,136.0,33.49,2.53
2000-05-15,ELEVATED,primary_to_ELEVATED,145.28,24.86,2.52
2000-07-14,NORMAL,primary_to_NORMAL,151.25,19.32,2.24
